judul,isi,tanggal,kategori
"Dua Gotri Ditemukan di Gedung Perkantoran Pagedangan, Diduga Peluru Nyasar","JAKARTA, KOMPAS.com - Dua peluru gotri ditemukan di gedung perkantoran Foresta Business Loft 3, Lengkong Kulon, Pagedangan, Kabupaten Tangerang, Rabu (20/11/2024). Penemuan itu bermula dari warga yang melapor ke polisi atas dugaan peluru nyasar pada pukul 14.00 WIB. Menindaklanjuti laporan tersebut, polisi mendatangi tempat kejadian perkara (TKP). “Lalu menemukan barang bukti dua butir pelor atau gotri yang ada di tempat kejadian,” kata Kabid Humas Polda Metro Jaya Kombes Pol Ade Ary Indradi dalam keterangannya, Kamis (21/11/2024). Baca juga: Diduga Peluru Nyasar, Satu Proyektil Ditemukan di Rumah Warga Tangsel  Saat petugas melakukan olah TKP, polisi melihat kaca gedung Foresta Business Loft 3 di lantai tiga sudah berlubang akibat peluru nyasar tersebut. Polisi belum dapat menyimpulkan dari mana datangnya tembakan peluru itu. Namun, dari TKP, petugas membawa dua gotri tersebut ke tim Inafis Polres Tangerang Selatan. Kasus ini kini masih diselidiki lebih lanjut oleh kepolisian. Awal November lalu tepatnyaSenin (4/11/2024), insiden peluru nyasar juga terjadi diCihuni, Pagedangan, Kabupaten Tangerang. Seorang pria berinisial SH (44) menjadi korban peristiwa ini. Insiden tersebut terjadi ketika SH sedang mengendarai mobil di Jalan Gading Golf Boulevard sekitar pukul 11.00 WIB. “Tempat kejadian perkara (TKP) berjarak sekitar 30 meter dari Jembatan Cihuni, dari arah Serpong menuju Gading Boulevard,” jelas Ade Ary dalam keterangan pers, Selasa (5/11/2024). Ketika melewati jalan tersebut, SH tiba-tiba merasakan sakit di kaki kanannya. Dia kemudian menepi dan memarkir kendaraan di Ruko Riviera. Setelah keluar dari mobil, SH mendapati pintu mobilnya berlubang. “Ada peluru yang mengenai kakinya,” tambah Ade Ary. Hingga kini, kasus tersebut juga masih diselidiki polisi. Baca juga: Sedang Istirahat, Warga Tangsel Kaget Ada Proyektil Peluru Tembus Plafon Rumah  ","Kompas.com - 21/11/2024, 11:20 WIB",Megapolitan
Calon Dewas KPK Heru Kreshna Tak Setuju Tersangka Korupsi Ditampilkan dalam Konferensi Pers,"JAKARTA, KOMPAS.com - Calon Dewan Pengawas (Dewas) Komisi Pemberantasan Korupsi (KPK) Heru Kreshna Reza tak sepakat tersangka korupsi ditampilkan ke publik saat konferensi pers.  Menurut dia, tindakan tersebut sama saja dengan membunuh karakter seseorang yang belum secara sah dinyatakan bersalah oleh pengadilan.  ""Tersangka dipamerkan, Pak, kalau saya pribadi, saya ulangi kalau saya pribadi, saya tidak setuju. Karena itu membunuh karakter, Pak,"" ujar Heru saat uji kelayakan dan kepatutan di Komisi III DPR RI, Kamis (21/11/2024).  Baca juga: Calon Pimpinan dan Dewas KPK Ingin Hapus OTT, Pukat UGM: Untuk Ambil Hati Anggota DPR  Menurut Heru, para tersangka tersebut tetap perlu dilindungi dengan penerapan asas praduga tak bersalah. Hal ini tentu akan membuat KPK dipandang lebih bermartabat..  ""Karena bagaimanapun juga mereka harus dilindungi dengan asa praduga tak bersalah. Artinya harus dimanusiakan sampai nanti dibuktikan bahwa dia salah atau tidak,"" kata Heru. Pandangan itu disampaikan Heru sebagai jawaban atas pertanyaan Anggota Komisi III DPR RI Bambang Soesatyo (Bamsoet) saat uji kelayakan dan kepatutan. Politikus Golkar itu awal menyoroti tindakan memamerkan tersangka korupsi saat konferensi pers. Baca juga: Seleksi Calon Dewas KPK, Hamdi Sebut Kasus Firli Bahuri Tak Bisa Dimaafkan  Pada akhirnya, publik langsung menganggap tersangka itu bersalah, walaupun belum menjalani persidangan.  ""Misalnya ketika press conference, pengumuman seseorang tersangka. Dipajang dengan seluruh barang bukti yang didapat. Padahal, peran asas praduga tak bersalah, asas hukum universal orang ini belum bisa dinyatakan bersalah karena belum melalui proses pengadilan,"" kata Bamsoet.  ""Tapi dengan pengumuman itu, ini sudah mematikan semua hak-hak perdata. Sudah divonis, bersalah, padahal belum bisa dibuktikan di pengadilan,"" sambungnya.  Sebagai informasi, DPR RI sedang melaksanakan uji kelayakan dan kepatutan atau fit and proper test untuk calon pimpinan KPK dan calon anggota Dewas KPK selama empat hari, mulai Senin (18/11/2024) hingga Kamis (21/11/2024).  Sebanyak 10 orang calon pimpinan KPK dan 10 orang calon anggota Dewas KPK berpartisipasi dalam uji kelayakan ini. DPR akan memilih lima orang pimpinan KPK dan lima orang anggota Dewas KPK yang akan menjabat selama lima tahun ke depan. ","Kompas.com - 21/11/2024, 11:20 WIB",Nasional
Kemenhub Ungkap 3 Cara Atasi Kemacetan di Jalur Puncak-Bogor,"JAKARTA, KOMPAS.com – Kementerian Perhubungan merumuskan 3 strategi utama untuk mengatasi kemacetan di kawasan wisata Puncak, Kabupaten Bogor, Jawa Barat. Menurut Wakil Menteri Perhubungan (Wamenhub) Suntana, strategi ini dirancang untuk menangani lonjakan kendaraan yang kerap terjadi pada akhir pekan dan libur panjang. ""Kami telah merumuskan tiga strategi penanganan: jangka pendek, jangka menengah, dan jangka panjang. Semua ini diharapkan dapat mengurai kemacetan yang sudah menjadi masalah bertahun-tahun,"" kata Suntana usai rapat bersama jajaran Pemerintah Kabupaten Bogor di Sekretariat Daerah, Cibinong, pada Rabu (20/11/2024), seperti dikutip dari Antara. Suntana mengatakan, untuk langkah awal, pemerintah akan mengoptimalkan sistem rekayasa lalu lintas berupa sistem satu arah atau one way yang kerap diberlakukan. Baca juga: Berjam-jam Terjebak di Jalur Puncak, Wisatawan: Sudah Tahu Bakal Macet, tapi Gas Ajalah Menurut Suntana, kebijakan ini masih efektif dalam mengendalikan kemacetan tanpa menghambat sektor ekonomi, khususnya industri wisata yang tergabung dalam Perhimpunan Hotel dan Restoran Indonesia (PHRI). ""One way masih menjadi solusi yang diterima banyak pihak, termasuk pengusaha wisata. Sistem ini juga menjaga kelancaran ekonomi di kawasan Puncak,"" ujar Suntana. Lalu strategi jangka menengah adalah upaya mengurangi volume kendaraan pribadi. Caranya adalah pemerintah akan menyediakan bus gratis bagi wisatawan yang hendak berlibur ke Puncak. Layanan ini ditujukan bagi masyarakat yang terdampak kebijakan one way atau yang terhalang oleh kepadatan kendaraan di jalur utama. ""Kami akan melibatkan bus-bus gratis agar wisatawan tetap dapat menikmati Puncak tanpa menambah beban lalu lintas,"" ucap Suntana. Baca juga: Siaga Bencana Hidrometeorologi, Waspada Pohon Tumbang dan Longsor di Jalur Puncak Kemudian strategi jangka panjang adalah pembangunan infrastruktur baru. Sebagai solusi permanen, Kementerian Perhubungan bersama Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) mempersiapkan proyek infrastruktur besar, seperti pembangunan Tol Caringin-Cisarua-Cianjur dan lanjutan Jalur Puncak II. ""Data menunjukkan 37 persen pengendara di Puncak bertujuan ke Cipanas dan Cianjur. Dengan jalur alternatif ini, arus kendaraan dapat terpecah dan tidak lagi terpusat di Puncak,"" ucap Suntana. Ketiga strategi itu diharapkan mampu mengurangi kepadatan dan kemacetan ekstrem yang selama ini menjadi momok bagi wisatawan dan masyarakat setempat. Dengan koordinasi berbagai pihak, pemerintah optimis jalur Puncak dapat menjadi lebih tertata dan nyaman bagi semua pengguna jalan dan masyarakat. ","Kompas.com - 21/11/2024, 11:04 WIB",Nasional
"Polisi Tiba, Pelaku Tawuran di Duren Sawit Langsung Kabur dan Tinggalkan Sajam"," JAKARTA, KOMPAS.com -Pelaku tawuran di Jalan I Gusti Ngurah Rai, Kebon Singkong, Duren Sawit, Jakarta Timur langsung kabur begitu melihat polisi, Kamis (21/11/2024) pukul 03.30 WIB. Kapolres Metro Jakarta Timur Kombes Pol Nicolas Ary Lilipaly memastikan, tidak ada yang ditangkap dalam tawuran itu. ""Kami berhasil membubarkan para pelaku tawuran, namun tidak ada yang ditangkap karena saat polisi tiba, mereka langsung membubarkan diri,"" kata Nicolas saat dikonfirmasi, Kamis. Nicolas menegaskan, tidak ada korban dalam aksi tawuran. Namun para pelaku meninggalkan senjata yang digunakan di tempat kejadian perkara (TKP). Baca juga: Tawuran Kembali Pecah di Duren Sawit Jaktim, yang Keempat dalam Sebulan ""Pelaku tawuran ini membawa senjata tajam seperti yang ditemukan di lokasi kejadian, yakni panah, celurit, dan golok,"" ungkapnya. Diketahui sebelumnya, polisi bakal memperketat pengamanan usai terjadi tawuran antarwarga di Jalan I Gusti Ngurah Rai, Duren Sawit, Jakarta Timur. Tawuran itu melibatkan kelompok warga Kebon Singkong dan Cipinang Jagal, Jakarta Timur. ""Kalau dari segi pengamanan, kita berkoordinasi dengan Satpol PP. Nanti di lokasi kita akan lakukan penjagaan dari Polsek, kan di situ ada tiga pos,"" kata Kabag Ops Polres Metro Jakarta Timur AKBP Rachmat Eko di kantor Wali Kota Jakarta Timur, Selasa (19/11/2024). Baca juga: Jatinegara Jadi Wilayah Paling Rawan Tawuran di Jakarta Timur Saat ini, Polres beserta pemerintah kota (Pemkot) Jakarta Timur tengah mencari solusi untuk menyelesaikan tawuran yang terjadi di Kebon Singkong. ""Iya, ini juga tadi kan lagi dicari solusi jalan keluar terhadap penyelesaian kasus tawuran yang terjadi di Kebon Singkong. Masih belum final ini ya, rencana-rencana kegiatannya,"" tambahnya. ","Kompas.com - 21/11/2024, 11:01 WIB",Megapolitan
"Rakornas Dukcapil, Wamendagri: Enggak Mungkin Kita Jadi 5 Besar Ekonomi 2045 Tanpa Data","JAKARTA, KOMPAS.com - Wakil Menteri Dalam Negeri (Wamendagri) RI, Bima Arya menekankan pentingnya data untuk mencapai cita-cita menjadi lima besar ekonomi dunia di tahun 2045. Hal itu disampaikan Bima dalam Rapat Koordinasi Nasional (Rakornas) Direktorat Jenderal Kependudukan dan Pencatatan Sipil (Ditjen Dukcapil), di Grand Mercure, Jakarta Pusat, Kamis (21/11/2024). ""Enggak mungkin kita berperang tanpa data, enggak mungkin kita menyasar ekonomi Indonesia menjadi satu dari lima besar dunia di tahun 2045 tanpa data, ini fase krusial kritikal,"" ujarnya. Data dukcapil inilah, kata Bima, menjadi dasar agar mimpi-mimpi besar Presiden Prabowo Subianto bisa menjadi kenyataan. Baca juga: Inovasi Mobil Keliling Dukcapil Surakarta Tuai Pujian dari Wamendagri Bima Arya Mantan Walikota Bogor ini mengatakan, Prabowo sering menyampaikan di berbagai kesempatan agar ekonomi Indonesia bisa tumbuh dengan baik. ""Presiden Prabowo itu secara lantang menyampaikan dalam berbagai kesempatan. 8 percent of economic growth, GDP 10.000 USD, one of the five largest economy in the world,"" ucap dia. Bima mengatakan, data yang ada di Ditjen Dukcapil adalah kunci untuk menyusun beragam program, termasuk program untuk Rancangan Pembangunan Jangka Menengah Nasional (RPJMN). Perencanaan pembangunan harus membutuhkan data yang valid sehingga bisa berjalan dengan baik. Sebab itu, Ditjen Dukcapil adalah lembaga yang penting untuk menentukan beragam kebijakan yang bisa diambil dan tepat sasaran. Baca juga: Mendagri Bagi Tugas Dua Wamennya, Bima Arya Diminta Jadi Jubir ""Kita mungkin tidak bisa membayangkan betapa strategisnya kita semua ini. Insan yang sekarang menekuni kolaborasi dan sinergi di bidang kependudukan dan catatan sipil untuk bisa mendukung capai-capai nasionalitas,"" tandasnya. ","Kompas.com - 21/11/2024, 10:56 WIB",Nasional
"""Endorsement"" Prabowo dan Jokowi Vs Anies dan Ahok di Pilkada Jakarta, Siapa Paling Berpengaruh?","JAKARTA, KOMPAS.com - Dukungan dari elite politik, seperti presiden, mantan presiden, dan mantan gubernur dinilai mampu memengaruhi elektabilitas pasangan calon (paslon) gubernur dan wakil gubernur Pilkada Jakarta 2024. Pengamat politik dari UIN Jakarta, Ahmad Bakir Ihsan menilai, pemilih Jakarta punya ciri khas tersendiri. Meski Jakarta menjadi pusat pemerintahan negara, warganya dinilai lebih melekat dengan sosok gubernur mereka. “Kalau bicara efektif tidaknya dukungan, yang pertama terkait dengan momentum, di mana ini Pilkada Jakarta, tentu masyarakatnya ini yang paling lekat dalam ingatannya adalah pada sosok yang pernah memimpin di Jakarta,” ujar Ahmad saat dihubungi Kompas.com,Rabu (20/11/2024). Sosok Presiden ke-7 RI Joko Widodo misalnya. Meski pernah menjadi gubernur Jakarta pada 2012-2014,pengaruhnya pada Pilkada Jakarta 2024 dinilai tidak terlalu signifikan karena masa kepemimpinannya singkat. “Walaupun Jokowi pernah memimpin di Jakarta, tapi waktunya sangat singkat,” ujar Ahmad.   Hal ini, menurut Ahmad, terlihat dari besarnya animo warga yang meminta Ahok untuk kembali memegang jabatan publik. “Ahok saya kira dalam kontestasi Pilkada DKI juga mendapat dukungan yang banyak dan sampai sekarang juga punya, boleh dibilang, basis massa yang ada,” kata Ahmad. Pun demikian dengan Gubernur Jakarta periode 2017-2022 Anies Baswedan. Anies dinilai punya basis massa besar. Selain karena pernah berkontestasi di Pemilu Presiden (Pilpres) 2024, Anies juga sempat digadang-gadang kembali berlaga di Pilkada Jakarta 2024. “Anies saya kira juga punya kekuatan yang luar biasa pada pilpres kemarin, di Pilkada DKI juga signifikan,” tutur Ahmad. Dengan tidak berkontestasinya Anies pada pilkada kali ini, kata Ahmad, arah dukungan mantan Menteri Pendidikan dan Kebudayaan tersebut ditunggu-tunggu pendukung setianya. “Karena itu, dukungan Ahok dan Anies untuk Pramono Anung menurut saya lebih signifikan ya pengaruhnya terhadap elektabilitas Pramono dan Rano Karno dibandingkan dukungan Jokowi dan Prabowo untuk Ridwan Kamil dan Suswono,” imbuh Ahmad. Ahmad menilai, dukungan Ahok dan Anies untuk Pramono Anung-Rano Karno bisa mendorong elektabilitaspaslon nomor urut 3 itu. Terlebih, elektabilitas Pram-Rano menurut survei sejumlah lembaga mulai mengejar, bahkan unggul tipis dari paslon nomor urut 1 Ridwan Kamil-Suswono yang diusung oleh Koalisi Indonesia Maju (KIM) Plus. ","Kompas.com - 21/11/2024, 10:38 WIB",Megapolitan
"Calon Pimpinan dan Dewas KPK Ingin Hapus OTT, Pukat UGM: Untuk Ambil Hati Anggota DPR","JAKARTA, KOMPAS.com - Peneliti Pusat Kajian Antikorupsi Universitas Gadjah Mada Zaenur Rohman menilai, pernyataan calon pimpinan dan anggota dewan pengawas KPK yang hendak meniadakan Operasi Tangkap Tangan (OTT) merupakan sesat pikir. Menurut Zaenur, gagasan tersebut disampaikan hanya untuk menyenangkan anggota Komisi III DPR yang tengah menguji mereka.  ""Saya lihat ini adalah sesat pikir, sekadar ingin mengambil hati dan menyenangkan anggota DPR. Anggota DPR itu paling takut sama OTT,"" kata Zaenur saat dihubungi, Kamis (21/11/2024).  Baca juga: Johanis Tanak Ingin Tiadakan OTT KPK, Komisi III DPR Tepuk Tangan  Zaenur mengatakan, istilah Operasi Tangkap Tangan (OTT) memang tidak ada dalam Kitab Undang-Undang Hukum Acara Pidana (KUHAP). Namun, OTT itu adalah istilah populer.  Ia mengatakan, dalam KUHAP disebutkan bahwa tangkap tangan adalah penangkapan yang dilakukan setelah terjadinya tindak pidana korupsi.  ""KPK melakukan persiapan, mengumpulkan informasi, menyiapkan tim, kemudian melakukan pengamatan. Kalau memang terjadi transaksi kemudian dilakukan tangkap tangan. Jadi operasi itu istilah populer, bukan istilah hukum,"" ujarnya.  Baca juga: Pimpinan KPK Sebut OTT Tak Mungkin Dihilangkan  Sebelumnya, salah satu calon pimpinan KPK Johanis Tanak mengaku ingin meniadakan operasi tangkap tangan (OTT) seandainya terpilih sebagai ketua KPK. Hal itu ia sampaikan dalam sesi tanya jawab pada uji kelayakan dan kepatutan calon pimpinan KPK di Komisi III DPR RI, Selasa (19/11/2024). ""Seandainya saya bisa jadi, mohon izin, jadi ketua, saya akan tutup, close, karena itu (OTT) tidak sesuai dengan pengertian yang dimaksud dalam KUHAP,"" kata dia di hadapan anggota Dewan. Pernyataan calon pimpinan KPK petahana itu langsung disambut dengan riuh tepuk tangan para anggota Komisi III seisi ruangan.  Baca juga: Seleksi Calon Dewas KPK, Anggota DPR Sebut Tukang Becak Pun Bisa OTT Salah satu alon anggota Dewas KPK yakni Wisnu Baroto, mengaku berpikiran sama dengan Johanis Tanak tentang tidak perlunya lagi OTT KPK. Namun, ia tidak melihatnya dari sisi legalitas.  Menurut dia, OTT yang selama ini dilakukan KPK tak lagi relevan dengan pemberantasan korupsi. Penyidik KPK, menurut dia, harus mampu menganalisis dan mendeteksi kasus korupsi yang besar dan melibatkan organ strategis bangsa.  ""Dengan berkembangnya modus kejahatan yang canggih, beragam, dan berskala besar, maka metode OTT tidak lagi mumpuni untuk memerangi hal tersebut,” tutur Staf Ahli Jaksa Agung Muda Bidang Tindak Pidana Umum dikutip dari Kompas.id. Sebagai informasi, DPR RI sedang melaksanakan uji kelayakan dan kepatutan atau fit and proper test untuk calon pimpinan KPK dan calon anggota Dewas KPK selama empat hari, mulai Senin (18/11/2024) hingga Kamis (21/11/2024). Sebanyak 10 orang calon pimpinan KPK dan 10 orang calon anggota Dewas KPK berpartisipasi dalam uji kelayakan ini. DPR akan memilih lima orang pimpinan KPK dan lima orang anggota Dewas KPK yang akan menjabat selama lima tahun ke depan. ","Kompas.com - 21/11/2024, 10:35 WIB",Nasional
"Tingkatkan Daya Saing Tenaga Kerja Papua, Menaker Dorong Pelatihan Vokasi Berbasis Potensi Lokal","KOMPAS.com - Menteri Ketenagakerjaan (Menaker) Yassierli menekankan pentingnya pelatihan vokasi yang disesuaikan dengan potensi dan kebutuhan lokal Papua untuk meningkatkan daya saing tenaga kerja di daerah tersebut. Saat ini, kata dia, berbagai jenis pelatihan vokasi telah dilaksanakan di Balai Latihan Kerja (BLK) Unit Pelaksanaan Teknis Pusat (UPTP), Unit Pelaksanaan Teknis Daerah (UPTD), serta BLK Komunitas di Papua. Yassierli mengungkapkan komitmennya untuk memperkuat kerja sama dengan pemerintah daerah (pemda), lembaga pendidikan, dan sektor swasta guna memastikan pelatihan yang diberikan relevan dan efektif. Baca juga: Kuasa Hukum Nilai Laporan terhadap Said Didu Tidak Relevan dan Langgar HAM “Melalui kerja sama ini, saya yakin Papua dapat menjadi pusat pertumbuhan ekonomi berbasis keterampilan. Seperti yang selalu disampaikan oleh Presiden Republik Indonesia (RI) Prabowo Subianto, penting untuk terus menciptakan inovasi dan lapangan pekerjaan baru di setiap daerah,” ujarnya dalam siaran pers yang diterima Kompas.com, Kamis (21/11/2024). Pernyataan tersebut disampaikan oleh Yassierli saat menerima audiensi dari Majelis Rakyat Papua (MRP), di Kantor Kementerian Ketenagakerjaan (Kemnaker) Jakarta, Rabu (20/11/2024). Audiensi tersebut membahas strategi optimalisasi BLK Papua untuk meningkatkan kualitas pelatihan vokasi di daerah tersebut. Baca juga: Indonesia-Jerman Kerja Sama Pendidikan dan Pelatihan Vokasi Industri Pada kesempatan itu, Yassierli menjelaskan bahwa tujuan dari audiensi tersebut adalah untuk memperkuat sinergi antara pemerintah pusat dan daerah dalam mendukung pengembangan sumber daya manusia (SDM) di Papua melalui pelatihan vokasi. “Dukungan untuk transformasi BLK di Papua sangat penting agar menjadi lebih inklusif, modern, dan relevan dengan kebutuhan pasar. Kolaborasi dengan Majelis Rakyat Papua akan memastikan keberhasilan pelatihan vokasi berbasis kebutuhan lokal,” imbuhnya. ","Kompas.com - 21/11/2024, 10:24 WIB",Nasional
"Seleksi Calon Dewas KPK, Hamdi Sebut Kasus Firli Bahuri Tak Bisa Dimaafkan","JAKARTA, KOMPAS.com - Calon Dewan Pengawas (Dewas) KPK Hamdi Hassyarbain menilai kasus etik dan pidana yang menyeret Eks Ketua KPK Firli Bahuri tidak bisa dimaafkan.  Hamdi menyatakan ini dalam uji kelayakaan dan kepatutan (fit and proper test) Calon Dewas KPK di Komisi III DPR RI, Jakarta, Kamis (21/11/2024).  ""Jadi saya kira itu pelanggaran etika yang menurut saya tidak bisa dimaafkan,"" kata Hamdi.  Baca juga: Kasus Firli Bahuri Gantung Hampir Setahun, Kapolda: Tenang Saja, Nanti Selesai  Dia mengatakan banyak kasus baik etik maupun pidana yang menyeret Firli Bahuri.  Menurut Hamdi, hal ini sudah menjadi pelanggaran etik yang berat.  Sebab, sebagai Ketua KPK, Firli seharusnya menegakkan integritas dan memberantas korupsi  ""Kasus helikopter, kemudian upaya pemerasan terhadap mantan Mentan SYL,"" ucap Hamdi.  ""Jadi saya kira itu pelanggaran etika yang sangat berat karena Anda seharusnya menegakkan integritas harus memberantas korupsi tapi Anda berkolaborasi dengan tersangka,"" imbuhnya. Baca juga: Gusrizal Singgung Dewas KPK Ibarat Macan Ompong, Perlu Revisi UU KPK  Untuk diketahui, Firli ditetapkan sebagai tersangka kasus pemerasan eks Menteri Pertanian (Mentan) Syahrul Yasin Limpo (SYL) pada 22 November 2023.  Syahrul diduga diperas menyangkut penanganan perkara dugaan korupsi di Kementerian Pertanian.  Firli dijerat Pasal 12 huruf e atau Pasal 12 huruf B, atau Pasal 11 Undang-Undang Nomor 31 Tahun 1999 sebagaimana telah diubah dengan Undang-Undang Nomor 20 Tahun 2001 tentang perubahan atas Undang-Undang Nomor 39 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi jo Pasal 65 KUHP dengan ancaman hukuman penjara seumur hidup.  Dalam kasus ini, Firli telah menjalani beberapa pemeriksaan sebagai tersangka. Namun, ia tidak ditahan. ","Kompas.com - 21/11/2024, 10:21 WIB",Nasional
Sejarah Hari Perhubungan Darat Nasional Setiap Tanggal 22 November,"KOMPAS.com – Tanggal 22 November 2024 terdapat peringatan Hari Perhubungan Darat Nasional. Hari Perhubungan Darat Nasional diperingati setahun sekali dan merupakan bagian dari refleksi kehadiran transportasi darat di Indonesia. Hari Perhubungan Darat Nasional berbeda dengan Hari Perhubungan Nasional yang diperingati setiap tanggal 17 September. Hari Perhubungan Darat Nasional diinisiasi oleh Kementerian Perhubungan RI pada tahun 1971. Tujuannya untukmembangun transportasi lintas darat menjadi transportasi yang memiliki akses utama bagi masyarakat. Sejak Indonesia merdeka, jalur darat masih menjadi transportasi jalur utama yang dipilih banyak orang.  Moda transportasi di darat sangat banyak mulai dari kereta, bus, angkutan umum dan lain sebagainya. Tidak hanya itu saja bahkan pejalan kaki juga dianggap berperan dalam memajukan sektor darat. Dengan adanya hari ini diharapkan bisa mendorong orang untuk terus menggunakan transportasi umum darat yang kini semakin modern. Jauh sebelum Indonesia merdeka, masyarakat Indonesia menggunakan transportasi darat memanfaatkan tenaga manusia dan hewan seperti kuda, pedati, gerobak, andong serta becak sebagai angkutan pribadi. Perkembangan transportasi di Indonesia kemudian semakin modern sejak era kemerdekaan yang didominasi oleh angkutan darat seperti bus, angkot hingga kereta api. Namun begitu patut diketahui bahwa Belanda, Inggris, dan Jepang juga berperan dalam mengembangkan transportasi darat modern kala itu di Indonesia. Seperti jalur Pantai Utara (Pantura), juga disebut sebagai jalur Daendles, yang membentang sepanjang 1.000 km dari Anyer (Banten) hingga Panarukan (Jawa Timur). Kini alat transportasi darat di Indonesia mendominasi dibanding alat transportasi laut dan udara. Itulah yang membuat pemerintah semakin giat memajukan transportasi darat sebagai angkutan umum untuk khalayak luas. Referensi: Hakim, Lukmanul. (2024). Manajemen Transportasi dan Pariwisata. Yogyakarta: Deepublish ","Kompas.com - 21/11/2024, 10:02 WIB",Nasional
"Bawa Anak Saat Pimpin Rapat di DPR, Rahayu Saraswati: Sebisa Mungkin Habiskan Waktu Bareng","JAKARTA, KOMPAS.com - Wakil KetuaKomisi VIIDPR Rahayu Saraswati memangku anaknya ketika memimpin rapat dengan Menteri Pariwisata di Kompleks Parlemen, Jakarta, Rabu (20/11/2024) kemarin.  Wanita yang akrab disapa Sara ini mengaku bukan pertama kalinya membawa anak ketiganya saat bekerja di DPR RI.  ""Ini kedua kalinya. Bisa dilihat di Instagram beberapa minggu lalu juga saya bawa (anak),"" kata Sara saat dihubungi Kompas.com, Kamis (21/11/2024).  Baca juga: Rahayu Saraswati: Parpol Kurang Caleg Perempuan Harus Mundur dari Pemilu, Bukan Akali Aturan  Dia mengaku sebisa mungkin ingin menghabiskan waktu bersama anaknya. Selain itu, anak ketiganya juga tidak sekolah di hari Rabu dan cukup nyaman berada di keramaian.  ""Karena kesibukan saya, sebisa mungkin saya bisa spend time (habiskan waktu) dengan dia. Kebetulan dia suka ikut mamanya berkegiatan dan lumayan nyaman saja di keramaian,"" ungkap Sara. Menurut Wakil Ketua Umum Partai Gerindra itu, anak pertamanya juga pernah dibawa ke tempat kerjanya.  ""Anak pertama juga pernah saya bawa-bawa waktu saya masih menyusui,"" ucap ponakan Presiden Prabowo Subianto ini. Sebuah kiriman dibagikan oleh Kompas.com (@kompascom)  Lebih lanjut, Sara menilai sangat penting bagi anak untuk mengetahui kegiatannya sebagai seorang perempuan yang berkiprah di dunia politik.  Dia berharap dirinya bisa menjadi contoh baik bagi anak perempuannya.  ""Agar anak laki-laki kita tahu bahwa perempuan bisa dan anak perempuan kita juga dapat contoh yang baik. Walking the talk istilahnya,"" ucapnya.  Adapun dalam rapat kemarin, terlihat Sara memangku anak perempuannya yang masih berusia balita.  Saat Sara bertepuk tangan dalam rapat, tampaknya putrinya itu juga ikut bertepuk dan tertawa. ","Kompas.com - 21/11/2024, 09:57 WIB",Nasional
"Oleng dan Terjatuh, Pengendara Motor Tewas Terlindas Truk di Jalan Raya Narogong","BEKASI, KOMPAS.com - GS (44), seorang pengendara motor, tewas terlindas truk usai oleng dan terjatuh di Jalan Raya Narogong Km 6, Bojong Rawa Lumbu, Rawa Lumbu, Kota Bekasi, Rabu (20/11/2024). Akibat insiden ini, korban pun meninggal di tempat kejadian perkara (TKP). ""Pengendara sepeda motor GS meninggal dunia di TKP,"" ujar Kepala Unit Penegakan Hukum Satuan Lalu Lintas Polres Metro Bekasi Kota Iptu Suwandi dalam keterangannya, Kamis (21/11/2024). Suwandi menjelaskan, insiden kecelakaan berawal ketika sepeda motor Honda Vario yang ditunggangi korban melaju dari arah Cileungsi, Kabupaten Bogor, menuju Kota Bekasi. Baca juga: Potret Hamparan Sampah Liar Seluas Lapangan Bola di Babelan, Akankah Menteri LH Turun Tangan? Sesampainya di Jalan Raya Narogong Km 6, sepeda motor yang dikendarai korban tiba-tiba oleng. Selanjutnya, korban pun terjatuh ke aspal Jalan Raya Narogong Km 6. Di saat yang bersamaan, datang sebuah truk Hino yang dikemudikan AH (29). Truk tersebut kemudian melindas korban. Korban pun tewas seketika di TKP. Baca juga: Jangan Ada Lagi Polisi yang Tolak Laporan Warga... ""Kemudian terlindas ban depan sebelah kiri kendaraan truk dan terjadilah kecelakaan tersebut,"" kata Suwandi. Tak lama, petugas tiba di lokasi dan langsung membawa jasad korban ke RSUD dr.Chasbullah Abdulmadjid Kota Bekasi. ","Kompas.com - 21/11/2024, 09:51 WIB",Megapolitan
